,Title,Author,Price,Sales Rank,Genre/Theme,Published Month,Published Year
2745, Chances Are . . .: A novel,Richard Russo,16.0,5744,Fiction,Jul,2020
2746, The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,Deb Perelman,35.0,5747,Cooking,Oct,2012
2747, The Second Home: A Novel,Christina Clancy,26.99,5752,Fiction,Jun,2020
2748, Mouthful of Birds: Stories,Samanta Schweblin,16.0,5754,Fiction,Jan,2020
2749, The End of White Politics: How to Heal Our Liberal Divide,Zerlina Maxwell,27.0,5757,Political Science,Jul,2020
2750, Lanny: A Novel,Max Porter,16.0,5762,Design,Apr,2020
2751, Sea Otter Mini Puzzle,Mudpuppy,4.99,5765,Puzzles,Jan,2020
2752, On the Move: A Life,Oliver Sacks,16.95,5767,Psychology,Feb,2016
2753, Mistletoe: A Christmas Story,Tad Hills,17.99,5768,Juvenile Fiction,Sep,2020
2754, Giant Pacific Octopus Mini Puzzle,Mudpuppy,4.99,5772,Puzzles,Jan,2020
2755, The Fact of a Body: A Murder and a Memoir,Alexandria Marzano-Lesnevich,17.99,5773,Family & Relationships,May,2018
2756, My Antonia: Introduction by Jane Smiley,Willa Cather,10.0,5778,Fiction,Mar,2018
2757," Indestructibles: ¡Hola, granja! / Hello, Farm!",Maddie Frost,5.95,5783,Juvenile Nonfiction,Mar,2020
2758, Delta of Venus,Anais Nin,14.95,5785,Fiction,Feb,2004
2759, Rules for Visiting: A Novel,Jessica Francis Kane,17.0,5787,Fiction,Apr,2020
2760, The Rise and Fall of Charles Lindbergh,Candace Fleming,18.99,5788,Young Adult Nonfiction,Feb,2020
2761, The Chupacabras of the Rio Grande,Adam Gidwitz,7.99,5791,Juvenile Fiction,Jan,2020
2762," The Complete Chi's Sweet Home, 2",Konami Kanata,24.95,5795,Pets,Jan,2016
2763, Emergency Contact,Mary H K Choi,10.99,5798,Young Adult Fiction,Apr,2019
2764, The Penguin Book of Modern Speeches,Brian MacArthur,20.0,5799,History,Dec,2019
2765, Simple Cake: All You Need to Keep Your Friends and Family in Cake [A Baking Book],Odette Williams,23.0,5802,Cooking,Mar,2019
2766, Stories for Boys Who Dare to Be Different 2: Even More True Tales of Amazing Boys Who Changed the World,Ben Brooks,16.99,5803,Juvenile Nonfiction,Oct,2020
2767, The Queer Advantage: Conversations with LGBTQ+ Leaders on the Power of Identity,Andrew Gelwicks,30.0,5804,Biography & Autobiography,Oct,2020
2768, Chrysanthemum,Kevin Henkes,8.99,5807,Juvenile Fiction,May,2020
2769," Moleskine Classic Notebook, Large, Plain, Red, Hard Cover (5 x 8.25)",Moleskine,19.95,5808,Stationery,Aug,2008
2770, Crazy Brave: A Memoir,Joy Harjo,15.95,5812,Biography & Autobiography,Jul,2013
2771, Incidental Inventions,Elena Ferrante,20.0,5815,Literary Collections,Nov,2019
2772, If They Come for Us: Poems,Fatimah Asghar,16.0,5820,Biography & Autobiography,Aug,2018
2773, Ask the Dust,John Fante,16.99,5821,Fiction,Feb,2006
2774, The Electric Kool-Aid Acid Test,Tom Wolfe,20.0,5827,Social Science,Aug,2008
2775, Ghost Circles: Bone #7,Jeff Smith,12.99,5828,Juvenile Fiction,Feb,2008
2776, Orchid Thief,Susan Orlean,17.0,5830,Travel,Jan,2000
2777, The Hollow Ones,Guillermo del Toro,28.0,5847,Fiction,Jun,2020
2778, Stranger Faces,Namwali Serpell,15.95,5851,Philosophy,Oct,2020
2779, Shortest Way Home: One Mayor's Challenge and a Model for America's Future,Pete Buttigieg,17.95,5854,Biography & Autobiography,Sep,2020
2780," Monster, She Wrote: The Women Who Pioneered Horror and Speculative Fiction",Lisa Kroger,19.99,5858,Literary Criticism,Sep,2019
2781, Border Lines: Poems of Migration,Mihaela Moscaliuc,14.95,5861,Poetry,Sep,2020
2782, Little Pookie,Sandra Boynton,5.99,5862,Juvenile Fiction,Aug,2017
2783, The Golden Notebook: A Novel,Doris Lessing,18.99,5866,Fiction,Oct,2008
2784, Children of the Land: A Memoir,Marcelo Hernandez Castillo,17.99,5871,History,Sep,2020
2785, Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,16.95,5877,Travel,Mar,2013
2786, True Crimes and Misdemeanors: The Investigation of Donald Trump,Jeffrey Toobin,30.0,5886,Law,Aug,2020
2787, Nathalie Lete: The Girl Who Reads to Birds 500-Piece Puzzle,Nathalie Lete,19.95,5889,Art,Oct,2020
2788, Child of the Universe,Ray Jayawardhana,17.99,5891,Juvenile Fiction,Mar,2020
2789, All the Pretty Horses,Cormac McCarthy,16.0,5894,Fiction,Jun,1993
2790, Wuthering Heights,Emily Bronte,8.0,5896,Fiction,Apr,2009
2791, Wild Dogs and Canines! (Wild Kratts),Martin Kratt,4.99,5902,Juvenile Nonfiction,Jan,2020
2792, Brave. Black. First.: 100 Postcards Celebrating More Than 50 African American Women Who Changed the World,Cheryl Hudson,20.0,5912,Antiques & Collectibles,Jul,2020
2793, Ashes,Laurie Halse Anderson,8.99,5913,Juvenile Fiction,Aug,2017
2794, Pinkalicious and the Merminnies,Victoria Kann,4.99,5915,Juvenile Fiction,Jan,2020
2795, In the Lateness of the World: Poems,Carolyn Forche,24.0,5917,Poetry,Mar,2020
2796, Orphan Train: A Novel,Christina Baker Kline,15.99,5918,Fiction,Jan,2017
2797, Late Lunch with Llamas,Mary Pope Osborne,13.99,5919,Juvenile Fiction,Jul,2020
2798," You Are New: (New Baby Books for Kids, Expectant Mother Book, Baby Story Book)",Lucy Knisley,17.99,5927,Juvenile Fiction,Mar,2019
2799, Who Is Sonia Sotomayor?,Megan Stine,5.99,5935,Juvenile Nonfiction,Feb,2017
2800, Saga Volume 1,Brian K Vaughan,9.99,5942,Fiction,Oct,2012
2801, City of Secrets,Victoria Ying,14.99,5948,Juvenile Fiction,Jul,2020
2802, Pete's a Pizza Board Book,William Steig,7.99,5949,Juvenile Fiction,Aug,2003
2803, Square,Mac Barnett,15.99,5950,Juvenile Fiction,May,2018
2804, The Silence of the Girls: A Novel,Pat Barker,16.95,5954,Fiction,Aug,2019
2805, This Was Our Pact,Ryan Andrews,14.99,5955,Juvenile Fiction,Jun,2019
2806, Drawn Together,Minh Le,17.99,5956,Juvenile Fiction,Jun,2018
2807, Magdalena: River of Dreams: A Story of Colombia,Wade Davis,30.0,5959,Travel,Sep,2020
2808, Danny and the Dinosaur Ride a Bike,Syd Hoff,4.99,5961,Juvenile Fiction,Mar,2020
2809, Hop on Pop,Dr Seuss,9.99,5965,Juvenile Fiction,Feb,1963
2810, Puppy Problems,Paige Braddock,12.99,5969,Juvenile Fiction,Sep,2020
2811, Breaking Bread with the Dead: A Reader's Guide to a More Tranquil Mind,Alan Jacobs,25.0,5970,Self-Help,Sep,2020
2812, The Reptile Room,Lemony Snicket,13.99,5973,Juvenile Fiction,Feb,2000
2813, Alligator vs. Python (Who Would Win?),Jerry Pallotta,4.99,5975,Juvenile Nonfiction,Sep,2020
2814, The Museum of Whales You Will Never See: And Other Excursions to Iceland's Most Unusual Museums,A Kendra Greene,22.0,5978,Literary Collections,May,2020
2815, Scorpionfish,Natalie Bakopoulos,16.95,5983,Fiction,Jul,2020
2816," Fall; or, Dodge in Hell: A Novel",Neal Stephenson,21.99,5987,Fiction,Jun,2020
2817, I'll Give You the Sun,Jandy Nelson,10.99,5999,Young Adult Fiction,Oct,2015
2818, Permanent Record,Edward Snowden,18.0,6004,Political Science,Sep,2020
2819, Golem Girl: A Memoir,Riva Lehrer,30.0,6005,Art,Oct,2020
2820, Making Comics,Lynda Barry,22.95,6007,Art,Nov,2019
2821, Star Wars: Jedi Academy #8: Attack of the Furball,Amy Ignatow,12.99,6010,Juvenile Fiction,Sep,2019
2822, Who Fears Death,Nnedi Okorafor,17.0,6014,Fiction,Oct,2020
2823, The Girl Who Smiled Beads: A Story of War and What Comes After,Clemantine Wamariya,17.0,6015,History,Apr,2019
2824," If You're Reading This, It's Too Late",Pseudonymous Bosch,9.99,6023,Juvenile Fiction,Sep,2009
2825, Supernova,Marissa Meyer,19.99,6028,Young Adult Fiction,Nov,2019
2826, More Than Enough: Claiming Space for Who You Are (No Matter What They Say),Elaine Welteroth,17.0,6029,Self-Help,Apr,2020
2827, Total Meditation: Practices in Living the Awakened Life,Deepak Chopra,24.0,6031,"Body, Mind & Spirit",Sep,2020
2828, No Time to Spare: Thinking About What Matters,Ursula K Le Guin,14.99,6033,Biography & Autobiography,Jan,2019
2829, The City in the Middle of the Night,Charlie Jane Anders,18.99,6034,Fiction,Feb,2020
2830, The Ungrateful Refugee: What Immigrants Never Tell You,Dina Nayeri,16.95,6036,Social Science,Sep,2020
2831, The Collected Poems,Sylvia Plath,18.99,6038,Poetry,Mar,2018
2832," Modern Love, Revised and Updated: True Stories of Love, Loss, and Redemption",Daniel Jones,17.0,6039,Biography & Autobiography,Sep,2019
2833, Stay Gold,Tobly McSmith,18.99,6049,Young Adult Fiction,May,2020
2834," I Survived #10: I Survived the Destruction of Pompeii, 79 A.D.",Lauren Tarshis,5.99,6053,Juvenile Fiction,Aug,2014
2835, Resistencia,Julia Alvarez,18.95,6054,Poetry,Sep,2020
2836," Our Dogs, Ourselves: The Story of a Singular Bond",Alexandra Horowitz,18.0,6058,Nature,Aug,2020
2837, Selected Poems,Gwendolyn Brooks,14.99,6063,Poetry,Jul,2006
2838," The Secret Wisdom of Nature: Trees, Animals, and the Extraordinary Balance of All Living Things -- Stories from Science and Observation",Peter Wohlleben,24.95,6065,Nature,Mar,2019
2839," Paper Girls, Volume 1",Brian K Vaughan,9.99,6073,Fiction,Apr,2016
2840, Max and the Midknights,Lincoln Peirce,13.99,6076,Juvenile Fiction,Jan,2019
2841," The New Craft of the Cocktail: Everything You Need to Know to Think Like a Master Mixologist, with 500 Recipes",Dale DeGroff,35.0,6081,Cooking,Sep,2020
2842, Three Little Truths,Eithne Shortall,17.0,6082,Fiction,Oct,2020
2843, Gone Girl: A Novel,Gillian Flynn,17.0,6086,Fiction,Apr,2014
2844, St. Marks Is Dead: The Many Lives of America's Hippest Street,Ada Calhoun,16.95,6089,History,Nov,2016
2845, My Little Golden Book About the Solar System,Dennis R Shealy,4.99,6090,Juvenile Nonfiction,Sep,2018
2846, Olga and the Smelly Thing from Nowhere,Elise Gravel,13.99,6099,Juvenile Fiction,Mar,2017
2847, You Are an Artist: Assignments to Spark Creation,Sarah Urist Green,25.0,6105,Art,Apr,2020
2848, Dancing with the Octopus: A Memoir of a Crime,Debora Harding,27.0,6112,Family & Relationships,Sep,2020
2849, The Fragile Earth: Writing from The New Yorker on Climate Change,David Remnick,29.99,6118,Literary Collections,Oct,2020
2850, Last Child in the Woods: Saving Our Children From Nature-Deficit Disorder,Richard Louv,16.95,6119,Sports & Recreation,Apr,2008
2851, Unorthodox: The Scandalous Rejection of My Hasidic Roots,Deborah Feldman,17.0,6122,Biography & Autobiography,Mar,2020
2852, Greek to Me: Adventures of the Comma Queen,Mary Norris,15.95,6130,Language Arts & Disciplines,Apr,2020
2853, Down and Out in Paris and London,George Orwell,15.99,6136,Fiction,Jan,1951
2854, The Borrowers,Mary Norton,7.99,6139,Juvenile Fiction,Apr,2003
2855, Real Men Knit,Kwana Jackson,16.0,6140,Fiction,May,2020
2856, Pinkalicious: School Rules!,Victoria Kann,4.99,6141,Juvenile Fiction,Jun,2010
2857, In the Hurricane's Eye: The Genius of George Washington and the Victory at Yorktown,Nathaniel Philbrick,18.0,6143,Biography & Autobiography,Jun,2019
2858, We Are All Completely Beside Ourselves: A Novel,Karen Joy Fowler,17.0,6148,Fiction,Feb,2014
2859, Ghostland: An American History in Haunted Places,Colin Dickey,18.0,6150,Social Science,Oct,2017
2860, The Odd Woman and the City: A Memoir,Vivian Gornick,15.0,6151,Biography & Autobiography,May,2016
2861, The Seven Crystal Balls,Herg?,13.99,6152,Juvenile Fiction,Sep,1975
2862, Drinking Coffee Elsewhere,ZZ Packer,17.0,6159,Fiction,Feb,2004
2863, Booked,Kwame Alexander,8.99,6160,Juvenile Fiction,Mar,2019
2864, Notes from a Young Black Chef: A Memoir,Kwame Onwuachi,16.95,6162,Cooking,Mar,2020
2865, The Paper Menagerie and Other Stories,Ken Liu,17.99,6164,Fiction,Oct,2016
2866, When Brooklyn Was Queer: A History,Hugh Ryan,17.99,6170,Social Science,Jun,2020
2867, The Essential Neruda: Selected Poems,Pablo Neruda,16.95,6171,Poetry,Apr,2004
2868, Hysteria,Jessica Gross,18.0,6172,Fiction,Aug,2020
2869, Olympians: Hades: Lord of the Dead,George O'Connor,10.99,6174,Juvenile Fiction,Jan,2012
2870, Circle,Mac Barnett,15.99,6177,Juvenile Fiction,Mar,2019
2871, The Memory of Babel: Book Three of The Mirror Visitor Quartet,Christelle Dabos,20.0,6178,Young Adult Fiction,Sep,2020
2872, On Immunity: An Inoculation,Eula Biss,16.0,6179,Family & Relationships,Sep,2015
2873, Ana on the Edge,A J Sass,16.99,6182,Juvenile Fiction,Oct,2020
2874, The Portrait of a Lady,Henry James,13.0,6183,Fiction,Sep,2011
2875, The Young Elites,Marie Lu,11.99,6186,Young Adult Fiction,Aug,2015
2876," Indestructibles: Te amo, bebe / Love You, Baby",Stephan Lomp,5.95,6189,Juvenile Nonfiction,Mar,2020
2877, A Rogue of One's Own,Evie Dunmore,16.0,6190,Fiction,Sep,2020
2878, School of Good and Evil #2 A World Without Princes,Soman Chainani,8.99,6191,Juvenile Fiction,Sep,2018
2879, National Geographic Little Kids First Big Book of Why,Amy Shields,14.95,6192,Juvenile Nonfiction,May,2011
2880, Big Nate: Silent But Deadly,Lincoln Peirce,11.99,6193,Juvenile Fiction,Mar,2018
2881, Save Yourself,Cameron Esposito,27.0,6194,Humor,Mar,2020
2882," The Good Book of Southern Baking: A Revival of Biscuits, Cakes, and Cornbread",Kelly Fields,35.0,6198,Cooking,Sep,2020
2883, Charming as a Verb,Ben Philippe,18.99,6199,Young Adult Fiction,Oct,2020
2884, 5 Worlds Book 2: The Cobalt Prince,Mark Siegel,12.99,6210,Juvenile Fiction,May,2018
2885, Monster,Walter Dean Myers,10.99,6211,Young Adult Fiction,Mar,2019
2886, Kant's Little Prussian Head and Other Reasons Why I Write: An Autobiography through Essays,Claire Messud,26.95,6215,Biography & Autobiography,Oct,2020
2887, Strange Birds: A Field Guide to Ruffling Feathers,Celia C Perez,8.99,6225,Juvenile Fiction,Sep,2020
2888, Calling a Wolf a Wolf,Kaveh Akbar,16.95,6229,Poetry,Sep,2017
2889, Critical Role: Vox Machina Origins Volume II,Role Critical,19.99,6236,Games & Activities,Aug,2020
2890," Ivy and Bean Take the Case (Book 10): (Books for Curious Children, Books for Young Girls)",Annie Barrows,5.99,6241,Juvenile Fiction,Aug,2014
2891, Minecraft for Beginners,Ab Mojang,11.99,6242,Juvenile Nonfiction,Jul,2019
2892, Monstrous Tales: Stories of Strange Creatures and Fearsome Beasts from around the World,Sija Hong,24.95,6243,Fiction,Sep,2020
2893, Countablock,Christopher Franceschelli,16.95,6245,Juvenile Nonfiction,Aug,2014
2894, Dandelion,Gabbie Hanna,17.99,6249,Poetry,Oct,2020
2895, How the Garcia Girls Lost Their Accents: A Novel,Julia Alvarez,15.95,6250,Fiction,Jan,2010
2896," New and Selected Poems, Volume Two",Mary Oliver,16.0,6258,Nature,Apr,2007
2897, What Is Climate Change?,Gail Herman,5.99,6260,Juvenile Nonfiction,Jun,2018
2898, Horse Crazy: The Story of a Woman and a World in Love with an Animal,Sarah Maslin Nir,28.0,6264,Sports & Recreation,Aug,2020
2899," Moleskine Classic Notebook, Large, Plain, Black, Soft Cover (5 x 8.25)",Moleskine,19.95,6269,Stationery,Feb,2008
2900, Hyena vs. Honey Badger (Who Would Win?),Jerry Pallotta,4.99,6271,Juvenile Fiction,Sep,2020
2901, Princess Truly #2: The Off I Go!: An Acorn Book,Kelly Greenawalt,4.99,6272,Juvenile Fiction,Dec,2019
2902, Mighty Jack,Ben Hatke,14.99,6274,Juvenile Fiction,Sep,2016
2903, Grumpy Monkey Party Time!,Suzanne Lang,17.99,6288,Juvenile Fiction,Oct,2019
2904, Speedboat,Renata Adler,14.95,6289,Fiction,Mar,2013
2905, Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster),Rick Riordan,35.0,6291,Juvenile Fiction,Jun,2014
2906, Eva Sees a Ghost: A Branches Book (Owl Diaries #2),Rebecca Elliott,4.99,6308,Juvenile Fiction,May,2015
2907, Sunflowers Pocket-sized Coilbound Decomposition Book,michael Roger Inc,5.0,6310,Reference,Nov,2017
2908, After the Fall (How Humpty Dumpty Got Back Up Again),Dan Santat,17.99,6321,Juvenile Fiction,Oct,2017
2909," Well-Read Black Girl: Finding Our Stories, Discovering Ourselves",Glory Edim,20.0,6323,Literary Collections,Oct,2018
2910, Who Was Jackie Robinson?,Gail Herman,5.99,6324,Juvenile Nonfiction,Dec,2010
2911, Black Hole Survival Guide,Janna Levin,20.95,6328,Science,Nov,2020
2912, The Future Is Female Wall Calendar 2021: A Year of Art and Activism,Workman Calendars,15.99,6332,Social Science,Aug,2020
2913, Cold Comfort Farm: (Penguin Classics Deluxe Edition),Stella Gibbons,17.0,6336,Fiction,Mar,2006
2914, Figure It Out: Essays,Wayne Koestenbaum,16.95,6339,Literary Collections,May,2020
2915, The Chiffon Trenches: A Memoir,Andre Leon Talley,28.0,6341,Design,May,2020
2916, The Fox and the Star,Coralie Bickford-Smith,20.0,6349,Design,Nov,2015
2917, Caliban's War,James S A Corey,17.99,6351,Fiction,Jun,2012
2918, 1919 The Year That Changed America,Martin W Sandler,24.99,6353,Juvenile Nonfiction,Jan,2019
2919, EllRay Jakes Is a Rock Star,Sally Warner,5.99,6358,Juvenile Fiction,Feb,2012
2920, You Never Forget Your First: A Biography of George Washington,Alexis Coe,27.0,6366,History,Feb,2020
2921, I Capture the Castle,Dodie Smith,17.99,6369,Fiction,Mar,1999
2922," Steam Train, Dream Train (Easy Reader Books, Reading Books for Children)",Sherri Duskey Rinker,16.99,6370,Juvenile Fiction,Apr,2013
2923," Do Nothing: How to Break Away from Overworking, Overdoing, and Underliving",Celeste Headlee,25.0,6373,Self-Help,Mar,2020
2924, Twits,Roald Dahl,7.99,6375,Juvenile Fiction,Aug,2007
2925, A Gold Star for Zog,Julia Donaldson,18.99,6378,Juvenile Fiction,Jul,2012
2926, East of Eden: (Penguin Orange Collection),John Steinbeck,18.0,6383,Fiction,Oct,2016
2927, The Food of Sichuan,Fuchsia Dunlop,40.0,6384,Cooking,Oct,2019
2928, What It Means When a Man Falls from the Sky: Stories,Lesley Nneka Arimah,16.0,6385,Fiction,Apr,2018
2929, This Is the Night Our House Will Catch Fire: A Memoir,Nick Flynn,25.95,6387,Family & Relationships,Aug,2020
2930, Soaked!,Abi Cushman,17.99,6388,Juvenile Fiction,Jul,2020
2931, Paradise,Toni Morrison,16.95,6393,Fiction,Mar,2014
2932, This Side of Paradise,F Scott Fitzgerald,12.0,6395,Fiction,Sep,2009
2933, The Day the Crayons Quit Red Plush,MerryMakers Inc,12.0,6403,Toys & Plush,Feb,2018
2934, A Queer History of the United States for Young People,Michael Bronski,18.95,6404,Young Adult Nonfiction,Jun,2019
2935, Bold & Brave: Ten Heroes Who Won Women the Right to Vote,Kirsten Gillibrand,18.99,6405,Juvenile Nonfiction,Nov,2018
2936, Mas alla,Julia Alvarez,15.95,6407,Fiction,Sep,2020
2937," The Whole Fish Cookbook: New Ways to Cook, Eat and Think",Josh Niland,40.0,6408,Cooking,Sep,2019
2938, Apocalypse Taco,Nathan Hale,8.99,6410,Juvenile Fiction,May,2020
2939, Brooklyn,Colm Toibin,16.0,6412,Fiction,Mar,2010
2940, Magic Treehouse #12: Polar Bears Past Bedtime,Mary Pope Osborne,5.99,6414,Juvenile Fiction,Jul,1998
2941, The Return of Zita the Spacegirl,Ben Hatke,12.99,6417,Juvenile Fiction,May,2014
2942, Too Much and Not the Mood: Essays,Durga Chew-Bose,16.0,6419,Poetry,Apr,2017
2943, Girl on a Motorcycle,Amy Novesky,17.99,6420,Juvenile Nonfiction,Sep,2020
2944, Pastry Love: A Baker's Journal of Favorite Recipes,Joanne Chang,40.0,6422,Cooking,Nov,2019
2945, Unicorn Bowling (Phoebe and Her Unicorn Series Book 9): Another Phoebe and Her Unicorn Adventure,Dana Simpson,9.99,6423,Juvenile Fiction,Apr,2019
2946," Essential Ottolenghi [Special Edition, Two-Book Boxed Set]: Plenty More and Ottolenghi Simple",Yotam Ottolenghi,50.0,6424,Cooking,Nov,2019
2947, The Cat in the Hat Comes Back,Dr Seuss,9.99,6434,Juvenile Fiction,Dec,1988
2948, The Unexplainable Disappearance of Mars Patel,Sheela Chari,17.99,6438,Juvenile Fiction,Oct,2020
2949, Jitterbug Perfume: A Novel,Tom Robbins,17.0,6439,Fiction,Apr,1990
2950," The Economists' Hour: False Prophets, Free Markets, and the Fracture of Society",Binyamin Appelbaum,18.99,6443,Business & Economics,Sep,2020
2951, Life of Pi,Yann Martel,15.95,6446,Fiction,Jan,1951
2952, The Swerve: How The World Became Modern,Stephen Greenblatt,16.95,6449,Philosophy,Sep,2012
2953, Helter Skelter: The True Story Of The Manson Murder,Vincent Bugliosi,16.95,6451,Fiction,Dec,2001
2954, Vernon Subutex 2: A Novel,Virginie Despentes,17.0,6452,Fiction,Jul,2020
2955, After Dark,Haruki Murakami,16.0,6455,Fiction,Apr,2008
2956, Lubna and Pebble,Wendy Meddour,17.99,6460,Juvenile Fiction,Mar,2019
2957, The Essex Serpent: A Novel,Sarah Perry,16.99,6463,Fiction,Apr,2018
2958, The Family Book,Todd Parr,8.99,6467,Juvenile Nonfiction,May,2010
2959, Where Cooking Begins: Uncomplicated Recipes to Make You a Great Cook: A Cookbook,Carla Lalli Music,32.5,6474,Cooking,Mar,2019
2960, The Sound and the Fury,William Faulkner,15.0,6476,Fiction,Jan,1991
2961, Naked,David Sedaris,16.99,6477,Fiction,Jun,1998
2962, The Nix,Nathan Hill,17.95,6478,Fiction,May,2017
2963, Treasure Island,Robert Louis Stevenson,7.99,6479,Juvenile Fiction,Mar,2008
2964, The Montessori Toddler: A Parent's Guide to Raising a Curious and Responsible Human Being,Simone Davies,19.95,6486,Family & Relationships,Mar,2019
2965, The Care and Keeping of You (Revised): The Body Book for Younger Girls,Valorie Schaefer,12.99,6487,Juvenile Nonfiction,Mar,2013
2966, Junie B. Jones #4: Junie B. Jones and Some Sneaky Peeky Spying,Barbara Park,4.99,6488,Juvenile Fiction,May,1994
2967, Absolutely on Music: Conversations,Haruki Murakami,17.0,6494,Biography & Autobiography,Oct,2017
2968, Florence Adler Swims Forever: A Novel,Rachel Beanland,25.99,6498,Fiction,Jul,2020
2969, Wayside School Is Falling Down,Louis Sachar,7.99,6500,Juvenile Fiction,Mar,2019
2970," TouchThinkLearn: Numbers: (Board Books for Baby Learners, Touch Feel Books for Children)",Xavier Deneux,14.99,6501,Juvenile Nonfiction,May,2014
2971, Dawn,Octavia E Butler,16.99,6504,Fiction,Apr,1997
2972, The Girl on the Train: A Novel,Paula Hawkins,16.0,6506,Fiction,Jul,2016
2973, The Story of Ruby Bridges,Robert Coles,7.99,6511,Juvenile Nonfiction,Sep,2010
2974, Open City: A Novel,Teju Cole,17.0,6513,Fiction,Jan,2012
2975," TouchThinkLearn: ABC (Baby Board Books, Baby Touch and Feel Books, Sensory Books for Toddlers)",Xavier Deneux,24.99,6514,Juvenile Fiction,Sep,2016
2976, The Friend Zone,Abby Jimenez,14.99,6519,Fiction,Jun,2019
2977, Magic Treehouse #15: Viking Ships at Sunrise,Mary Pope Osborne,5.99,6523,Juvenile Fiction,Aug,1998
2978, Deaf Republic: Poems,Ilya Kaminsky,16.0,6526,Language Arts & Disciplines,Mar,2019
2979, Dragons Love Tacos 2 Book and Toy Set,Adam Rubin,19.99,6527,Juvenile Fiction,Oct,2019
2980, The Log from the Sea of Cortez,John Steinbeck,18.0,6529,Science,Nov,1995
2981, Peanut Goes for the Gold,Jonathan Van Ness,18.99,6530,Juvenile Fiction,Mar,2020
2982, Big Nate: A Good Old-Fashioned Wedgie,Lincoln Peirce,9.99,6531,Comics & Graphic Novels,Aug,2017
2983," The Confidence Code for Girls: Taking Risks, Messing Up, & Becoming Your Amazingly Imperfect, Totally Powerful Self",Katty Kay,14.99,6533,Juvenile Nonfiction,Apr,2018
2984, Bad Kitty: Kitten Trouble,Nick Bruel,6.99,6536,Juvenile Fiction,Dec,2019
2985, Whose Knees Are These?,Jabari Asim,7.99,6538,Juvenile Fiction,Mar,2019
2986, What Happens at Night,Peter Cameron,26.0,6539,Fiction,Aug,2020
2987, Drawing on Walls: A Story of Keith Haring,Matthew Burgess,18.95,6540,Juvenile Nonfiction,May,2020
2988, Born Standing Up: A Comic's Life,Steve Martin,17.0,6542,Performing Arts,Sep,2008
2989, The Rings of Saturn,W G Sebald,16.95,6544,Fiction,Nov,2016
2990, The Presidents vs. the Press: The Endless Battle between the White House and the Media--from the Founding Fathers to Fake News,Harold Holzer,30.0,6554,Social Science,Aug,2020
2991, Lola at the Library,Anna McQuinn,7.99,6557,Juvenile Fiction,Jan,2012
2992, The Pigeon Wants a Puppy!,Mo Willems,16.99,6558,Juvenile Fiction,Apr,2008
2993, Jonny Lambert's Construction Site,Jonny Lambert,12.99,6560,Juvenile Nonfiction,Mar,2020
2994, Build Yourself a Boat,Camonghne Felix,16.0,6570,Poetry,May,2019
2995, How to Raise a Reader,Pamela Paul,19.95,6572,Language Arts & Disciplines,Sep,2019
2996, Corregidora,Gayl Jones,16.0,6574,Fiction,Jan,2019
2997, Life of the Party: Poems,Olivia Gatwood,17.0,6578,Poetry,Aug,2019
2998, Night of the Zombie Zookeeper,Andres Miedoso,5.99,6582,Juvenile Fiction,Jul,2018
2999, Talented Mr Ripley,Patricia Highsmith,15.95,6587,Fiction,May,2008
3000, Owed,Joshua Bennett,20.0,6588,Poetry,Sep,2020
3001, How to Write an Autobiographical Novel: Essays,Alexander Chee,15.99,6589,Language Arts & Disciplines,Apr,2018
3002, My Life as an Ice Cream Sandwich,Ibi Zoboi,8.99,6590,Juvenile Fiction,Jul,2020
3003, What If This Were Enough?,Heather Havrilesky,16.0,6591,Social Science,Oct,2019
3004, Stink: The Incredible Shrinking Kid,Megan McDonald,4.99,6593,Juvenile Fiction,Feb,2013
3005, Dick Gregory's Political Primer,Dick Gregory,17.99,6599,Political Science,Sep,2020
3006," The Truth Will Set You Free, But First It Will Piss You Off!: Thoughts on Life, Love, and Rebellion",Gloria Steinem,22.0,6600,Biography & Autobiography,Oct,2019
3007, The Violence Inside Us: A Brief History of an Ongoing American Tragedy,Chris Murphy,28.0,6601,History,Sep,2020
3008," The Other Wes Moore: One Name, Two Fates",Wes Moore,17.0,6607,Social Science,Jan,2011
3009, The Silkworm,Robert Galbraith,18.0,6611,Fiction,Jun,2015
3010, Searching for Stars on an Island in Maine,Alan Lightman,15.95,6614,Philosophy,Feb,2019
3011," Junie B., First Grader: BOO...and I Mean It!",Barbara Park,4.99,6615,Juvenile Fiction,Aug,2006
3012, The Last Romantics: A Novel,Tara Conklin,17.99,6616,Fiction,Jan,2020
3013, Odes to Lithium,Shira Erlichman,17.95,6618,Poetry,Sep,2019
3014, Lillian Boxfish Takes a Walk: A Novel,Kathleen Rooney,17.0,6628,Fiction,Apr,2018
3015, Making Friends (Making Friends #1),Kristen Gudsnuk,12.99,6629,Juvenile Fiction,Jul,2018
3016, Smitten Kitchen Every Day: Triumphant and Unfussy New Favorites: A Cookbook,Deb Perelman,35.0,6631,Cooking,Oct,2017
3017, Case Histories,Kate Atkinson,16.99,6637,Fiction,Oct,2005
3018, Miss Iceland,Audur Ava Olafsdottir,16.0,6638,Fiction,Jun,2020
